reference_species,submitted_species,common_name,species_group,species_subgroup,assess,MU_drywt,LI_drywt,SB_drywt,TM_drywt,EH_drywt,HA_drywt,FE_drywt,BL_drywt,MU_lipidwt,LI_lipidwt,SB_lipidwt,TM_lipidwt,EH_lipidwt,HA_lipidwt,FE_lipidwt,BL_lipidwt
Abramis brama,Abramis brama,Common bream,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Anguilla anguilla,Anguilla anguilla,European eel,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Brosme brosme,Brosme brosme,Cusk,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Chimaera monstrosa,Chimaera monstrosa,Rabbit fish,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Clupea harengus,Clupea harengus,Herring,Fish,Fish,TRUE,26.5,32,,,,,,,4.62,4.38,,,,,,
Callionymus lyra,Callionymus lyra,Dragonet,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Esox lucius,Esox lucius,Northern pike,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Gadus morhua,Gadus morhua,Cod,Fish,Fish,TRUE,19.2,55,,,,,,,0.34,43,,,,,,
Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Megrim,Fish,Fish,TRUE,20.2,40.2,,,,,,,0.32,24.7,,,,,,
Lepidorhombus boscii,Lepidorhombus boscii,Four spotted megrim,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Limanda limanda,Limanda limanda,Common dab,Fish,Fish,TRUE,20.13,32.3,,,,,,,0.73,19.6,,,,,,
Lota lota,Lota lota,Burbot,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Melanogrammus aeglefinus,Melanogrammus aeglefinus,Haddock,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Merlangius merlangus,Merlangius merlangus,Whiting,Fish,Fish,TRUE,20,44.55,,,,,,,,36.55,,,,,,
Merluccius merluccius,Merluccius merluccius,Hake,Fish,Fish,TRUE,20,,,,,,,,,43.7,,,,,,
Molva molva,Molva molva,Common ling,Fish,Fish,TRUE,21.15,64.25,,,,,,,0.34,53,,,,,,
Mullus barbatus,Mullus barbatus,Red mullet,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Myoxocephalus scorpius,Myoxocephalus scorpius,Shorthorn sculpin,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Neogobius melanostomus,Neogobius melanostomus,Round goby,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Perca fluviatilis,Perca fluviatilis,European perch,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Platichthys flesus,Platichthys flesus,Flounder,Fish,Fish,TRUE,21.3,32.2,,,,,,,0.91,14.9,,,,,,
Pleuronectes platessa,Pleuronectes platessa,Plaice,Fish,Fish,TRUE,20,27.05,,,,,,,0.48,11,,,,,,
Salvelinus alpinus,Salvelinus alpinus,Arctic char,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Salvelinus namaycush,Salvelinus namaycush,Lake trout,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Salmo trutta,Salmo trutta,Brown trout,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Scomber scombrus,Scomber scombrus,Atlantic mackerel,Fish,Fish,TRUE,25.57,26.64,,,,,,,,6.99,,,,,,
Sprattus sprattus,Sprattus sprattus,European sprat,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Trigla lucerna,Trigla lucerna,Tub gurnard,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Zoarces viviparus,Zoarces viviparus,Eelpout,Fish,Fish,TRUE,18.6,23,,,,,,,0.56,0.57,,,,,,
Callista chione,Callista chione,Smooth clam,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Cerastoderma edule,Cerastoderma edule,Common cockle,Bivalve,Clam,TRUE,,,18,,,,,,,,,,,,,
Chamelea gallina,Chamelea gallina,Striped venus clam,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Donax trunculus,Donax trunculus,Wedge clam,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Ensis,Ensis,Razor clam,Bivalve,Clam,FALSE,,,,,,,,,,,,,,,,
Ensis ensis,Ensis ensis,Sword razor,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Glycymeris glycymeris,Glycymeris glycymeris,Dog cockle,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Limecola balthica,Limecola balthica,Baltic clam,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Macoma balthica,Macoma balthica,Baltic clam,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Mya arenaria,Mya arenaria,Softshell clam,Bivalve,Clam,TRUE,,,15.46,,,,,,,,0.72,,,,,
Ruditapes decussatus,Ruditapes decussatus,Grooved carpet shell,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Ruditapes philippinarum,Ruditapes philippinarum,Manila clam,Bivalve,Clam,TRUE,,,16.06,,,,,,,,,,,,,
Solen marginatus,Solen marginatus,Grooved razor shell,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Spisula solida,Spisula solida,Surf clam,Bivalve,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Spisula solidissima,Spisula solidissima,Atlantic surf clam,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Venerupis corrugata,Venerupis corrugata,Pullet carpet shell,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Ruditapes philippinarum,Venerupis philippinarum,Manila clam,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Venerupis corrugata,Venerupis senegalensis,Pullet carpet shell,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Venus verrucosa,Venus verrucosa,Warty Venus,Bivalve,Clam,TRUE,,,,,,,,,,,,,,,,
Dreissena polymorpha,Dreissena polymorpha,Zebra mussel,Bivalve,Mussel,TRUE,,,,,,,,,,,,,,,,
Mytilus,Mytilus,Mussel,Bivalve,Mussel,FALSE,,,,,,,,,,,,,,,,
Mytilus edulis,Mytilus edulis,Blue mussel,Bivalve,Mussel,TRUE,,,16.4,,,,,,,,1.37,,,,,
Mytilus galloprovincialis,Mytilus galloprovincialis,Mediteranean mussel,Bivalve,Mussel,TRUE,,,19,,,,,,,,2.03,,,,,
Mytilus trossulus,Mytilus trossulus,Bay mussel,Bivalve,Mussel,TRUE,,,,,,,,,,,,,,,,
Crassostrea gigas,Crassostrea gigas,Pacific oyster,Bivalve,Oyster,TRUE,,,18,,,,,,,,1.95,,,,,
Ostrea edulis,Ostrea edulis,Native oyster,Bivalve,Oyster,TRUE,,,20.1,,,,,,,,1.71,,,,,
Aequipecten opercularis,Aequipecten opercularis,Queen scallop,Bivalve,Scallop,TRUE,,,,,,,,,,,,,,,,
Pecten maximus,Pecten maximus,King scallop,Bivalve,Scallop,TRUE,,,,,,,,,,,,,,,,
Crangon crangon,Crangon crangon,Common shrimp,Crustacean,Crustacean,TRUE,,,,27.33,,,,,,,,1.44,,,,
Buccinum undatum,Buccinum undatum,Common whelk,Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Crepidula fornicata,Crepidula fornicata,Common slipper shell,Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Tritia nitida (reticulata),Hinia reticulata,Dog whelk (nitida or reticulata),Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Littorina littorea,Littorina littorea,Common periwinkle,Gastropod,Gastropod,TRUE,,,22.3,,,,,,,,,,,,,
Tritia nitida (reticulata),Nassarius reticulatus,Dog whelk (nitida or reticulata),Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Tritia nitida (reticulata),Nassarius nitidus,Dog whelk (nitida or reticulata),Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Neptunea antiqua,Neptunea antiqua,Red whelk,Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Nucella lapillus,Nucella lapillus,Dog whelk,Gastropod,Gastropod,TRUE,,,32.3,,,,,,,,,,,,,
Ocenebra erinaceus,Ocenebra erinaceus,Sting winkle,Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Patella,Patella,Limpet,Gastropod,Gastropod,FALSE,,,,,,,,,,,,,,,,
Peringia ulvae,Peringia ulvae,Laver spire shell,Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Tritia nitida (reticulata),Tritia nitida,Dog whelk (nitida or reticulata),Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Tritia nitida (reticulata),Tritia nitida (reticulata),Dog whelk (nitida or reticulata),Gastropod,Gastropod,TRUE,,,27,,,,,,,,,,,,,
Tritia nitida (reticulata),Tritia reticulata,Dog whelk (nitida or reticulata),Gastropod,Gastropod,TRUE,,,,,,,,,,,,,,,,
Fucus ceranoides,Fucus ceranoides,Horned wrack,Macrophyte,Macrophyte,FALSE,,,,,,,,,,,,,,,,
Fucus serratus,Fucus serratus,Toothed wrack,Macrophyte,Macrophyte,FALSE,,,,,,,,,,,,,,,,
Fucus vesiculosus,Fucus vesiculosus,Bladder wrack,Macrophyte,Macrophyte,FALSE,,,,,,,,,,,,,,,,
Fucus,Fucus,Brown algae,Macrophyte,Macrophyte,FALSE,,,,,,,,,,,,,,,,
Paracentrotus lividus,Paracentrotus lividus,Purple sea urchin,Echinoderm,Echinoderm,FALSE,,,,,,,,,,,,,,,,
Alle alle,Alle alle,Little auk,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Cepphus grylle,Cepphus grylle,Black guillemot,Bird,Bird,TRUE,,32,,,25.7,,,21,,,,,9.9,,,
Fulmarus glacialis,Fulmarus glacialis,Northern fulmar,Bird,Bird,TRUE,,29.45,,,,,,21,,,,,,,,
Haematopus ostralegus,Haematopus ostralegus,Eurasian oystercatcher,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Lagopus muta,Lagopus muta,Rock ptarmigan,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Larus,Larus,Gull,Bird,Bird,FALSE,,,,,,,,21,,,,,,,,
Larus argentatus,Larus argentatus,European herring gull,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Rissa tridactyla,Rissa tridactyla,Black-legged kittiwake,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Somateria mollissima,Somateria mollissima,Common eider,Bird,Bird,TRUE,,,,,,,,21,,,,,12.44,,,0.25
Sterna hirundo,Sterna hirundo,Common tern,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Uria aalge,Uria aalge,Common guillemot,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Uria lomvia,Uria lomvia,Thick-billed murre,Bird,Bird,TRUE,,,,,,,,21,,,,,,,,
Delphinapterus leucas,Delphinapterus leucas,Beluga whale,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
Globicephala melas,Globicephala melas,Long-finned pilot whale,Mammal,Mammal,TRUE,29,27.6,,,,,,,70,,,,,,,
Homo sapiens,Homo sapiens,Human,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
Phoca hispida,Phoca hispida,Ringed seal,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
Phoca hispida,Pusa hispida,Ringed seal,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
Rangifer tarandus,Rangifer tarandus,Caribou,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
Ursus maritimus,Ursus maritimus,Polar bear,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
Vulpes lagopus,Vulpes lagopus,Arctic fox,Mammal,Mammal,TRUE,,,,,,,,,,,,,,,,
