"determinand","common_name","pargroup","biota_group","sediment_group","water_group","biota_assess","sediment_assess","water_assess","biota_unit","sediment_unit","water_unit","biota_auxiliary","sediment_auxiliary","water_auxiliary","biota_sd_constant","biota_sd_variable","sediment_sd_constant","sediment_sd_variable","water_sd_constant","water_sd_variable","distribution","good_status"
"HCEPT","trans-heptachlorepoxide","OC-CL","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"HCEPX","Heptachlor epoxide","OC-CL","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.0139,0.165,0.006667,0.376063,0,0.15,"lognormal","low"
"HCHA","alpha-HCH","OC-HC","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.003483,0.227,0.005167,0.3,0,0.139,"lognormal","low"
"HCHB","beta-HCH","OC-HC","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.006667,0.231818,0.006667,0.38234,0,0.15,"lognormal","low"
"HCHD","delta-HCH","OC-HC","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"HCHG","gamma-HCH","OC-HC","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.0114,0.273053,0.005,0.3,0,0.114,"lognormal","low"
"HCH","Sum of HCH A B G","OC-HC","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.013333,0.22,,,0,0.1076,"lognormal","low"
"ISOD","Isodrin","OC-DN","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.165139,,,0,0.214,"lognormal","low"
"MCCP","Medium chain chlorinated paraffin","OC-CP","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.333333,0.138965,,,,,"lognormal","low"
"OCDAN","Oxychlordane","OC-DN","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.001,0.175,,,,,"lognormal","low"
"SCCP","Short chain chlorinated paraffin","OC-CP","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.333333,0.139728,,,,,"lognormal","low"
"TDEPP","TDE (p,p')","OC-DD","Organochlorines","Organochlorines","Organochlorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.006667,0.197,0.006667,0.3,0,0.16425,"lognormal","low"
"CDD1N",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,4e-06,0.15,7.3e-05,0.237592,,,"lognormal","low"
"CDD4X",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDD6P",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDD6X",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDD9X",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDDO",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"TCDD",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,4e-06,0.14,6e-05,0.237592,,,"lognormal","low"
"CDF2N",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDF2T",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,8e-06,0.149717,6.7e-05,0.237592,,,"lognormal","low"
"CDF4X",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDF6P",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDF6X",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDF9P",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDF9X",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDFDN",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDFO",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDFP2",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CDFX1",,"OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"ug/kg","ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"TEQDFP","WHO-TEQ (DFP)","OC-DX","Dioxins","Dioxins",,FALSE,FALSE,FALSE,"TEQ ug/kg","TEQ ug/kg",,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,1.8e-05,0.1375,3.9e-05,0.237592,,,"lognormal","low"
"PFOA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.075,0.178,,,,,"lognormal","low"
"PFNA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.05,0.25,,,,,"lognormal","low"
"PFDA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.043333,0.249459,,,,,"lognormal","low"
"PFUNDA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.04,0.241605,,,,,"lognormal","low"
"PFDOA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.046667,0.278512,,,,,"lognormal","low"
"PFTRDA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.07,0.26,,,,,"lognormal","low"
"PFTDA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.07,0.323489,,,,,"lognormal","low"
"PFBS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.34,,,,,"lognormal","low"
"PFHXS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.018333,0.129765,,,,,"lognormal","low"
"N-PFHXS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BR-PFHXS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"PFOS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.066667,0.199772,,,0.003333,0.172725,"lognormal","low"
"N-PFOS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BR-PFOS",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"PFOSA",,"O-FL","Organofluorines","Organofluorines","Organofluorines",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.171667,0.165,,,,,"lognormal","low"
"ATRZ","Atrazine","O-TRI","Pesticides","Pesticides","Pesticides",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,0.976667,0.110279,"lognormal","low"
"GLYPH","Glyphosate","O-HER","Pesticides","Pesticides","Pesticides",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,6.166667,0.202951,"lognormal","low"
"IMDCP","Imidacloprid","O-INS","Pesticides","Pesticides","Pesticides",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,0.005567,0.15,"lognormal","low"
"CORG","Organic Carbon","O-MAJ",,"Auxiliary",,FALSE,FALSE,FALSE,,"%",,,"AL, CORG, DRYWT%",,,,0.01,0.1,,,,
"LOIGN","Loss on ignition","O-MAJ",,"Auxiliary",,FALSE,FALSE,FALSE,,"%",,,"AL, CORG, DRYWT%",,,,,,,,,
"NORG","Organic Nitrogen","O-MAJ",,"Auxiliary",,FALSE,FALSE,FALSE,,"%",,,"AL, CORG, DRYWT%",,,,,,,,,
"AGMEA","mean age","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"y",,,,,,,,,,,,,
"AGMIN","minimum age","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"y",,,,,,,,,,,,,
"AGMAX","maximum age","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"y",,,,,,,,,,,,,
"LNMEA","mean length","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"cm",,,,,,,,,,,,,
"LNMIN","minimum length","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"cm",,,,,,,,,,,,,
"LNMAX","maximum length","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"cm",,,,,,,,,,,,,
"WTMEA","mean weight","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"g",,,,,,,,,,,,,
"WTMIN","minimum weight","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"g",,,,,,,,,,,,,
"WTMAX","maximum weight","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"g",,,,,,,,,,,,,
"DRYWT%","dry weight","B-BIO","Auxiliary","Auxiliary",,FALSE,FALSE,FALSE,"%","%",,,,,,,,,,,,
"EXLIP%","extractable lipid","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"%",,,,,,,,,,,,,
"LIPIDWT%","lipid weight","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"%",,,,,,,,,,,,,
"FATWT%","fat weight","B-BIO","Auxiliary",,,FALSE,FALSE,FALSE,"%",,,,,,,,,,,,,
"%FEMALEPOP","proportion of females in population","B-END","Auxiliary",,,FALSE,FALSE,FALSE,"%",,,,,,,,,,,,,
"%MALEPOP","proportion of males in population","B-END","Auxiliary",,,FALSE,FALSE,FALSE,"%",,,,,,,,,,,,,
"CMT-QC-NR","Comet assay cells screened","B-MBA","Auxiliary",,,FALSE,FALSE,FALSE,"nr",,,,,,,,,,,,,
"MNC-QC-NR","Micronucleus assay cells screened","B-MBA","Auxiliary",,,FALSE,FALSE,FALSE,"nr",,,,,,,,,,,,,
"C13","Carbon isotope of mass 13","I-RNC","Auxiliary",,,FALSE,FALSE,FALSE,"ppt/VPBD",,,,,,,,,,,,,
"C13D","delta C13 (isotope ratio 13C:12C)","I-RNC","Auxiliary",,,FALSE,FALSE,FALSE,"ppt",,,,,,,,,,,,,
"N15","Nitrogen isotope of mass 15","I-RNC","Auxiliary",,,FALSE,FALSE,FALSE,"ppt/air",,,,,,,,,,,,,
"N15D","delta N15 (isotope ratio 15N:14N)","I-RNC","Auxiliary",,,FALSE,FALSE,FALSE,"ppt",,,,,,,,,,,,,
"MORT%","mortality","B-TOX",,"Effects",,FALSE,FALSE,FALSE,,"%",,,"AL, CORG, DRYWT%",,,,,,,,,
"GOSOI","gonadal somatic index","B-BIO","Effects",,,FALSE,FALSE,FALSE,"idx",,,"LNMEA, LIPIDWT%, DRYWT%",,,,,,,,,,
"EROD",,"B-MBA","Effects",,,FALSE,FALSE,FALSE,"pmol/min/mg protein",,,"LNMEA, LIPIDWT%, DRYWT%",,,0.5055,0.054412,,,,,"lognormal","low"
"GST",,"B-MBA","Effects",,,FALSE,FALSE,FALSE,"nmol/min/mg protein",,,"LNMEA, LIPIDWT%, DRYWT%",,,0,0.2,,,,,"lognormal","high"
"SFG","Scope for growth","B-TOX","Effects",,,FALSE,FALSE,FALSE,"j/h/g",,,"LNMEA, LIPIDWT%, DRYWT%",,,,,,,,,"normal","high"
"BAP3OH","3-hydroxy benzo(a)pyrene","B-MBA","Metabolites",,,FALSE,FALSE,FALSE,"ng/ml",,,"LNMEA, LIPIDWT%, DRYWT%",,,0.123333,0.2,,,,,"lognormal","low"
"NAP2OH","2-hydroxy naphthalene","B-MBA","Metabolites",,,FALSE,FALSE,FALSE,"ng/ml",,,"LNMEA, LIPIDWT%, DRYWT%",,,0.123333,0.175,,,,,"lognormal","low"
"PA1OH","1-hydroxy phenanthrene","B-MBA","Metabolites",,,FALSE,FALSE,FALSE,"ng/ml",,,"LNMEA, LIPIDWT%, DRYWT%",,,0.123333,0.175,,,,,"lognormal","low"
"PYR1OH","1-hydroxy pyrene","B-MBA","Metabolites",,,TRUE,FALSE,FALSE,"ng/ml",,,"LNMEA, LIPIDWT%, DRYWT%",,,0.123333,0.15,,,,,"lognormal","low"
"PYR1OHEQ","1-hydroxy pyrene equivalent","B-MBA","Metabolites",,,FALSE,FALSE,FALSE,"ug/ml",,,"LNMEA, LIPIDWT%, DRYWT%",,,0.123333,0.175,,,,,"lognormal","low"
"ACHE",,"B-MBA","Effects",,,FALSE,FALSE,FALSE,"nmol/min/mg protein",,,"LNMEA, LIPIDWT%, DRYWT%",,,0,0.4,,,,,"lognormal","high"
"ALAD",,"B-MBA","Effects",,,FALSE,FALSE,FALSE,"ng/min/mg protein",,,"LNMEA, LIPIDWT%, DRYWT%",,,0,0.2,,,,,"lognormal","high"
"SURVT","Stress on stress","B-BIO","Effects",,,FALSE,FALSE,FALSE,"d",,,"LNMEA",,,,,,,,,"survival","high"
"%DNATAIL","Comet assay","B-MBA","Effects",,,FALSE,FALSE,FALSE,"%",,,"CMT-QC-NR, LNMEA",,,,,,,,,"beta","low"
"MNC","Micronucleus assay","B-MBA","Effects",,,FALSE,FALSE,FALSE,"nr/1000 cells",,,"MNC-QC-NR, LNMEA",,,,,,,,,"negativebinomial","low"
"NRR","Neutral red retention time","B-MBA","Effects",,,FALSE,FALSE,FALSE,"mins",,,"LNMEA, LIPIDWT%, DRYWT%",,,,,,,,,"survival","high"
"LP","Lysosomal labilisation period","B-MBA","Effects",,,FALSE,FALSE,FALSE,"mins",,,"LNMEA, LIPIDWT%, DRYWT%",,,,,,,,,"survival","high"
"VDS","Vas Deferens Sequence","B-END","Imposex",,,FALSE,FALSE,FALSE,"st",,,"%FEMALEPOP, LNMEA",,,,,,,,,"multinomial","low"
"VDSI","Vas Deferens Sequence Index","B-END","Imposex",,,FALSE,FALSE,FALSE,"idx",,,"%FEMALEPOP, LNMEA",,,,,,,,,"quasibinomial","low"
"IMPS","Imposex stage","B-END","Imposex",,,FALSE,FALSE,FALSE,"st",,,"%FEMALEPOP, LNMEA",,,,,,,,,"quasibinomial","low"
"PCI","Penis classification index","B-END","Imposex",,,FALSE,FALSE,FALSE,"idx",,,"%FEMALEPOP, LNMEA",,,,,,,,,"quasibinomial","low"
"INTS","Intersex stage","B-END","Imposex",,,FALSE,FALSE,FALSE,"st",,,"%FEMALEPOP, LNMEA",,,,,,,,,"quasibinomial","low"
"INTSI","Intersex stage index","B-END","Imposex",,,FALSE,FALSE,FALSE,"idx",,,"%FEMALEPOP, LNMEA",,,,,,,,,"quasibinomial","low"
"GSMF63","Grain Size Mass Fraction < 63 micron","P-PHY",,"Auxiliary",,FALSE,FALSE,FALSE,,"%",,,,,,,,,,,,
